<<<<<<< HEAD
Ship_Type,DWT,Engine_Power_kW,Design_Speed,Avg_Speed_Knots,Distance_NM,Draft_Percentage,Wind_Beaufort,Wave_Height_m,Current_Speed_Knots,Current_Direction,Season,Fuel_Consumption_Tons
Tanker,100037,17680,16.4,11.0,3683,72.5,3,0.6,0.33,Beam,Inter-Monsoon,263.79
Bulker,56799,8438,12.7,11.1,4922,78.8,3,1.23,0.4,Following,Inter-Monsoon,389.04
Container,54394,21962,19.9,16.0,3673,97.8,8,4.78,1.61,Following,Southwest Monsoon,590.11
Bulker,74584,11179,12.8,8.2,4850,53.7,2,1.48,0.9,Head,Inter-Monsoon,245.5
Tanker,110083,19471,15.5,12.5,4499,97.3,2,1.13,0.44,Beam,Inter-Monsoon,662.06
Bulker,156028,23107,12.5,9.9,4585,88.2,5,3.81,0.62,Following,Northeast Monsoon,978.18
Container,133998,53398,23.4,20.6,4539,71.0,4,3.82,0.73,Beam,Northeast Monsoon,1465.29
Container,28885,10902,19.5,16.1,3454,98.7,2,1.59,0.51,Head,Inter-Monsoon,279.42
Bulker,158540,23960,13.7,8.4,4501,74.9,8,3.11,1.13,Head,Southwest Monsoon,584.85
Container,81103,32905,21.0,14.6,3850,94.5,4,3.15,0.72,Head,Northeast Monsoon,612.24
Container,106830,42500,21.0,17.2,1142,91.9,2,1.34,0.42,Head,Inter-Monsoon,284.88
Tanker,198409,36193,15.2,12.0,4549,53.4,3,1.51,0.65,Following,Northeast Monsoon,841.61
Tanker,237760,43593,17.0,14.1,2285,99.7,3,3.48,0.61,Head,Northeast Monsoon,858.31
Container,67111,27503,23.9,16.9,1409,81.2,7,5.57,1.34,Head,Southwest Monsoon,182.46
Tanker,126015,22272,14.7,12.7,1570,97.3,7,2.93,1.9,Head,Southwest Monsoon,404.61
Container,25369,10478,20.1,13.4,4110,69.7,1,1.39,0.45,Head,Inter-Monsoon,139.29
Bulker,59810,9318,12.6,8.6,4311,65.9,1,1.38,0.26,Head,Inter-Monsoon,215.05
Container,73848,29599,20.6,19.1,3404,69.3,4,3.66,1.33,Beam,Northeast Monsoon,732.86
Tanker,113876,19836,16.3,11.9,3978,52.5,6,2.14,0.7,Beam,Northeast Monsoon,344.87
Bulker,194527,29613,14.5,10.5,4696,87.2,2,1.5,0.86,Head,Inter-Monsoon,896.51
Tanker,240163,42963,13.9,8.4,1704,89.2,2,1.08,0.98,Beam,Inter-Monsoon,327.13
Tanker,129807,23786,13.2,11.3,3677,76.1,6,3.76,2.05,Beam,Southwest Monsoon,874.43
Container,99971,40629,22.3,21.1,2634,73.3,6,2.91,0.94,Following,Southwest Monsoon,812.56
Tanker,162518,29498,15.4,10.6,3163,64.4,1,1.01,0.81,Head,Inter-Monsoon,426.95
Tanker,147093,26863,15.5,14.0,4277,65.5,2,1.47,0.97,Following,Inter-Monsoon,943.88
Container,56671,22845,18.3,16.9,2433,67.8,3,1.86,0.69,Head,Inter-Monsoon,410.51
Bulker,161492,25054,13.8,11.5,4048,68.5,4,2.53,2.42,Following,Southwest Monsoon,785.12
Container,60926,25069,20.0,15.5,671,65.2,4,3.81,1.03,Following,Northeast Monsoon,85.45
Bulker,100103,14604,12.4,8.7,2736,77.9,1,1.51,0.8,Beam,Inter-Monsoon,260.35
Tanker,79829,14824,15.0,10.3,1156,95.1,4,2.74,1.19,Following,Northeast Monsoon,99.21
Bulker,149367,22573,15.9,13.4,3420,83.0,4,3.46,1.44,Head,Southwest Monsoon,727.43
Container,45198,18444,21.2,13.2,4642,54.4,2,1.37,0.24,Head,Inter-Monsoon,203.45
Bulker,35548,5028,14.9,11.6,2174,67.1,5,4.36,2.24,Beam,Southwest Monsoon,74.71
Container,135416,54931,20.1,17.0,2850,60.7,5,1.63,0.73,Beam,Northeast Monsoon,771.26
Bulker,82690,12732,15.8,11.9,2408,73.6,1,0.86,0.49,Beam,Inter-Monsoon,172.76
Tanker,98692,17490,15.0,9.5,739,61.6,4,3.32,0.99,Beam,Northeast Monsoon,53.31
Tanker,57495,9539,14.2,12.4,2379,69.0,1,0.85,0.23,Beam,Inter-Monsoon,191.25
Container,108756,43740,19.8,17.4,3829,76.1,2,0.74,1.0,Beam,Inter-Monsoon,907.55
Bulker,56863,7954,12.7,10.0,1791,66.6,8,3.82,0.7,Beam,Southwest Monsoon,125.53
Tanker,277633,50430,14.8,13.5,4793,90.7,1,0.82,0.86,Beam,Inter-Monsoon,2435.19
Tanker,260407,47016,16.6,15.6,527,62.3,3,1.41,0.71,Head,Inter-Monsoon,188.18
Tanker,267396,47860,14.9,12.7,1616,54.9,3,1.01,0.46,Beam,Inter-Monsoon,481.93
Container,75297,30552,22.9,19.2,722,82.5,3,2.43,0.53,Beam,Northeast Monsoon,115.99
Bulker,79138,12259,15.6,12.3,1549,61.1,6,5.93,1.69,Head,Southwest Monsoon,136.52
Container,88309,35229,23.8,22.0,768,62.4,2,0.54,1.0,Beam,Inter-Monsoon,127.71
Tanker,240569,43070,15.6,12.6,1882,89.1,4,2.96,1.37,Beam,Southwest Monsoon,664.13
Bulker,35252,5518,15.7,12.2,4388,61.7,6,4.52,2.28,Head,Southwest Monsoon,163.56
